station,station_name,longitude,latitude
8001827,»À°¼­¿º´¿,127.061955,37.59
8002515,Áß¶û±³,127.066835,37.591427
11269,¼­¿¿À¯¾Õ,127.072817,37.592108
11302,Áß¶ûÃÊµÇÐ±³,127.074318,37.58932
11383,KTÁß¶ûÁö»,127.078068,37.590545
11467,KTÁß¶ûÁöÁ¡»ç°Å¸®,127.080877,37.59139
11523,»óºÀ2µ¿ÁÖ¹Î¼¾ÅÍ,127.083885,37.592028
11591,¸é¸6°Å¸®,127.087857,37.59288
71146,Çý¿ø¸ñ¿åÅÁ,127.089892,37.593343
11663,»óºÀÅÍ¹Ì³ÎÀÔ±¸,127.092532,37.59388
71148,Çý¿ø¿©Áß°ÀÔ±¸,127.09505,37.594427
71149,ºÀ¿Àç°°³,127.097837,37.595025
71150,¿¸²½ÃÀ,127.09954,37.595398
11741,¿¸¶°ø¿øÀÔ±¸,127.099292,37.594253
70857,¸Á¿3µ¿ÁÖ¹Î¼¾ÅÍ,127.097627,37.591217
11718,¼­ÀÏ´ÇÐ±³,127.0967,37.58951
11700,¿¸¶¹®È­º¹Áö¼¾ÅÍ,127.095167,37.586712
8501971,°æ¼º¿©°´(Á¾Á¡°¡»),127.094977,37.585395
8912,±¹¹Î´¾Õ,126.993973,37.610795
8970,Ã»´öÃÊµÇÐ±³,126.999112,37.608787
72006,ºÏ¾ÇÁßÇÐ±³,127.002908,37.607387
72007,ºÀ±¹»,127.007623,37.605853
72008,Á¤¸ª2µ¿ÁÖ¹Î¼¾ÅÍ,127.011258,37.604593
8000224,¼þ´öÃÊ±³,127.014658,37.603388
7646,Á¤¸ª±æÀ½½ÃÀ,127.019202,37.602323
72262,µ·¾Ïµ¿»¼º¾ÆÆÄÆ®ÀÔ±¸,127.024597,37.601918
12862,µ·¾Ï1µ¿ÁÖ¹Î¼¾ÅÍ,127.026423,37.603672
75099,Á¾¾Ï»ç°Å¸®,127.031172,37.603607
72434,Á¾¾Ï°æÂû¼­,127.033117,37.601352
72435,Á¾¾Ïµ¿ÁÖ¹Î¼¾ÅÍ,127.034183,37.599235
72436,¼þ·ÊÃÊ±³,127.035692,37.594807
73025,°·Á´¿ª.°´¾Õ»°Å¸®,127.036872,37.588548
8003153,È«ÆÄÃÊµÇÐ±³,127.038332,37.585602
75100,Á¦±âµ¿ÁÖ¹Î¼¾ÅÍ.¼­¿¾à·É½Ã¾Õ,127.038385,37.58192
70035,¿¤¸²±³È¸.´¸½ÅÇù¾Õ,127.040908,37.578698
8001829,Ã»·®¸®¿ªÈ¯½Â¼¾ÅÍ,127.045722,37.580303
8002143,¼­¿¼º½Éº´¿,127.050898,37.584655
8420,ÈÖ°æµ¿ÀÔ±¸,127.055203,37.587663
8001827,»À°¼­¿º´¿,127.061955,37.59
8002515,Áß¶û±³,127.066835,37.591427
11269,¼­¿¿À¯¾Õ,127.072817,37.592108
11283,½Å¼ºÀºÇÏ¼ö¾ÆÆÄÆ®,127.073497,37.588498
13767,¸é¸2µ¿ÇÑ½Å¾ÆÆÄÆ®,127.074238,37.586758
11342,¸é¸5µ¿,127.075883,37.585643
11404,µ¿¼­±×·£µå¸Ç¼Ç,127.077953,37.586112
13778,ÇÏ³ªÀºÇà¸é¸ñÁöÁ¡,127.08111,37.586817
11557,¸é¸ñº¹°³Ãµ,127.086043,37.587913
11606,ÁöÇÏÃ¶7È£¼±¸é¸ñ¿ª,127.088633,37.588495
11654,³óÇù¾Õ,127.091903,37.589225
11709,Çý¿ø¿©Áß°ÈÄ¹®,127.09618,37.590197
11718,¼­ÀÏ´ÇÐ±³,127.0967,37.58951
11700,¿¸¶¹®È­º¹Áö¼¾ÅÍ,127.095167,37.586712
8001321,¿¸¶¹®È­º¹Áö¼¾ÅÍ,127.09538,37.586485
71130,¼­ÀÏ´ÇÐ±³,127.09687,37.589193
11716,Çý¿ø¿©Áß°ÈÄ¹®,127.096388,37.590465
11657,³óÇù¾Õ,127.091995,37.589453
11617,¸é¸ñ¿ª,127.088517,37.588687
11553,¸é¸ñº¹°³Ãµ,127.08567,37.58805
11465,ÇÏ³ªÀºÇà¸é¸ñÁöÁ¡,127.081042,37.587028
11412,µ¿¼­±×·£µå¸Ç¼Ç,127.07881,37.586482
11341,¸é¸5µ¿,127.0761,37.585908
11297,¸é¸2µ¿ÇÑ½Å¾ÆÆÄÆ®,127.074047,37.587332
11291,½Å¼ºÀºÇÏ¼ö¾ÆÆÄÆ®,127.073707,37.588578
11278,¼­¿¿À¯¾Õ,127.073153,37.59141
70064,Áß¶û±³,127.067697,37.59174
8001828,»À°¼­¿º´¿,127.060685,37.589692
70066,½ÃÁ¶»ç»°Å¸®,127.056888,37.588707
70067,¶±Àü±³»ç°Å¸®.µ¿´¹®³ÀÎº¹Áö°,127.051948,37.586473
8501270,Ã»·®¸®¹ÌÁÖ¾ÆÆÄÆ®.µ¿´¹®¼¼¹«¼­,127.048395,37.58278
